date,city_id,new_cases,accumulative_city
2020-03-09,67,3,3
2020-03-09,3,1,1
2020-03-10,999999,4,4
2020-03-10,6,1,1
2020-03-11,18,1,1
2020-03-13,999999,7,11
2020-03-13,6,15,16
2020-03-13,3,1,2
2020-03-13,67,1,4
2020-03-14,3677,1,1
2020-03-14,67,3,7
2020-03-14,18,1,2
2020-03-14,3,12,14
2020-03-15,3,2,16
2020-03-15,67,7,14
2020-03-15,31,1,1
2020-03-15,227,2,2
2020-03-15,13,1,1
2020-03-15,18,2,4
2020-03-16,227,1,3
2020-03-16,67,1,15
2020-03-16,17,2,2
2020-03-16,3,4,20
2020-03-16,18,5,9
2020-03-16,6,2,18
2020-03-17,18,3,12
2020-03-17,6,3,21
2020-03-17,67,10,25
2020-03-17,227,3,6
2020-03-17,3,19,39
2020-03-18,3,19,58
2020-03-18,999999,23,34
2020-03-18,18,13,25
2020-03-18,6,11,32
2020-03-18,62,1,1
2020-03-19,3,21,79
2020-03-19,67,4,29
2020-03-19,6,3,35
2020-03-19,13,3,4
2020-03-19,501,2,2
2020-03-19,18,1,26
2020-03-19,227,1,7
2020-03-19,1801,1,1
2020-03-20,3,49,128
2020-03-20,18,11,37
2020-03-20,6,2,37
2020-03-20,14,1,1
2020-03-20,13,1,5
2020-03-20,227,1,8
2020-03-20,67,1,30
2020-03-20,1542,1,1
2020-03-20,1,1,1
2020-03-20,1301,1,1
2020-03-20,47,1,1
2020-03-21,3,36,164
2020-03-21,18,5,42
2020-03-21,6,2,39
2020-03-21,3677,2,3
2020-03-21,115,1,1
2020-03-21,227,1,9
2020-03-21,67,1,31
2020-03-22,6,72,111
2020-03-22,3,34,198
2020-03-22,13,4,9
2020-03-22,67,4,35
2020-03-22,3677,3,6
2020-03-22,31,3,4
2020-03-22,227,1,10
2020-03-22,11,1,1
2020-03-23,3,18,216
2020-03-23,6,12,123
2020-03-23,5,6,6
2020-03-23,1301,5,6
2020-03-23,13,3,12
2020-03-23,67,3,38
2020-03-23,17,2,4
2020-03-23,3417,1,1
2020-03-23,1625,1,1
2020-03-24,18,82,124
2020-03-24,3,69,285
2020-03-24,1542,12,13
2020-03-24,1301,8,14
2020-03-24,3417,8,9
2020-03-24,15,6,6
2020-03-24,67,6,44
2020-03-24,13,6,18
2020-03-24,17,3,7
2020-03-24,31,2,6
2020-03-24,227,2,12
2020-03-24,14,1,2
2020-03-25,3,83,368
2020-03-25,13,13,31
2020-03-25,18,10,134
2020-03-25,14,6,8
2020-03-25,67,6,50
2020-03-25,31,5,11
2020-03-25,3417,4,13
2020-03-25,15,2,8
2020-03-25,2213,2,2
2020-03-25,227,1,13
2020-03-25,113,1,1
2020-03-26,3,34,402
2020-03-26,6,26,149
2020-03-26,5,18,24
2020-03-26,18,13,147
2020-03-26,13,6,37
2020-03-26,67,5,55
2020-03-26,14,3,11
2020-03-26,31,2,13
2020-03-26,501,2,4
2020-03-26,227,1,14
2020-03-26,11,1,2
2020-03-26,2464,1,1
2020-03-27,3,46,448
2020-03-27,14,19,30
2020-03-27,67,10,65
2020-03-27,18,7,154
2020-03-27,13,4,41
2020-03-27,227,2,16
2020-03-27,11,2,4
2020-03-27,501,1,5
2020-03-27,31,1,14
2020-03-28,3,41,489
2020-03-28,18,18,172
2020-03-28,6,12,161
2020-03-28,67,12,77
2020-03-28,14,6,36
2020-03-28,1,3,4
2020-03-28,62,3,4
2020-03-28,15,1,9
2020-03-28,501,1,6
2020-03-28,31,1,15
2020-03-28,454,1,1
2020-03-29,3,27,516
2020-03-29,13,23,64
2020-03-29,14,14,50
2020-03-29,18,12,184
2020-03-29,6,7,168
2020-03-29,31,4,19
2020-03-29,227,2,18
2020-03-29,67,1,78
2020-03-29,2590,1,1
2020-03-29,454,1,2
2020-03-29,501,1,7
2020-03-29,5,1,25
2020-03-29,62,1,5
2020-03-29,1,1,5
2020-03-30,6,40,208
2020-03-30,13,34,98
2020-03-30,3,22,538
2020-03-30,14,22,72
2020-03-30,18,9,193
2020-03-30,501,6,13
2020-03-30,31,6,25
2020-03-30,67,5,83
2020-03-30,5,2,27
2020-03-30,483,1,1
2020-03-30,11,1,5
